Epoch: 1/1000, Duration: 167.275s,Train Loss: 3.4610, Test Loss:2.9668, Test Percentage Loss: 260.69%
Epoch: 2/1000, Duration: 163.172s,Train Loss: 1.7458, Test Loss:0.1941, Test Percentage Loss: 146.65%
Epoch: 3/1000, Duration: 161.046s,Train Loss: 0.1426, Test Loss:0.0477, Test Percentage Loss: 41.61%
Epoch: 4/1000, Duration: 163.762s,Train Loss: 0.0940, Test Loss:0.0339, Test Percentage Loss: 24.82%
Epoch: 5/1000, Duration: 161.462s,Train Loss: 0.0826, Test Loss:0.0307, Test Percentage Loss: 29.14%
Epoch: 6/1000, Duration: 166.286s,Train Loss: 0.0705, Test Loss:0.0181, Test Percentage Loss: 22.67%
Epoch: 7/1000, Duration: 155.144s,Train Loss: 0.0573, Test Loss:0.0163, Test Percentage Loss: 31.68%
Epoch: 8/1000, Duration: 152.104s,Train Loss: 0.0563, Test Loss:0.0228, Test Percentage Loss: 26.17%
Epoch: 9/1000, Duration: 158.192s,Train Loss: 0.0466, Test Loss:0.0173, Test Percentage Loss: 26.53%
Epoch: 10/1000, Duration: 160.452s,Train Loss: 0.0462, Test Loss:0.0155, Test Percentage Loss: 81.33%
Epoch: 11/1000, Duration: 151.403s,Train Loss: 0.0448, Test Loss:0.0133, Test Percentage Loss: 23.92%
Epoch: 12/1000, Duration: 152.190s,Train Loss: 0.0340, Test Loss:0.0155, Test Percentage Loss: 27.30%
Epoch: 13/1000, Duration: 166.119s,Train Loss: 0.0376, Test Loss:0.0116, Test Percentage Loss: 38.03%
Epoch: 14/1000, Duration: 160.772s,Train Loss: 0.0355, Test Loss:0.0176, Test Percentage Loss: 19.31%
Epoch: 15/1000, Duration: 160.894s,Train Loss: 0.0282, Test Loss:0.0146, Test Percentage Loss: 18.68%
Epoch: 16/1000, Duration: 162.622s,Train Loss: 0.0303, Test Loss:0.0150, Test Percentage Loss: 46.52%
Epoch: 17/1000, Duration: 169.300s,Train Loss: 0.0295, Test Loss:0.0079, Test Percentage Loss: 25.77%
