Epoch: 1/1000, Duration: 88.845s,Train Loss: 3.6349, Test Loss:2.6683, Test Percentage Loss: 438.03%
Epoch: 2/1000, Duration: 81.179s,Train Loss: 1.1506, Test Loss:0.0967, Test Percentage Loss: 74.46%
Epoch: 3/1000, Duration: 86.936s,Train Loss: 0.1138, Test Loss:0.0384, Test Percentage Loss: 35.47%
Epoch: 4/1000, Duration: 82.279s,Train Loss: 0.0730, Test Loss:0.0219, Test Percentage Loss: 26.11%
Epoch: 5/1000, Duration: 87.105s,Train Loss: 0.0585, Test Loss:0.0163, Test Percentage Loss: 47.94%
Epoch: 6/1000, Duration: 83.102s,Train Loss: 0.0496, Test Loss:0.0109, Test Percentage Loss: 31.05%
Epoch: 7/1000, Duration: 85.731s,Train Loss: 0.0426, Test Loss:0.0112, Test Percentage Loss: 21.08%
Epoch: 8/1000, Duration: 83.003s,Train Loss: 0.0387, Test Loss:0.0105, Test Percentage Loss: 24.03%
Epoch: 9/1000, Duration: 84.602s,Train Loss: 0.0436, Test Loss:0.0097, Test Percentage Loss: 61.54%
Epoch: 10/1000, Duration: 83.769s,Train Loss: 0.0364, Test Loss:0.0101, Test Percentage Loss: 35.57%
Epoch: 11/1000, Duration: 85.392s,Train Loss: 0.0386, Test Loss:0.0107, Test Percentage Loss: 216.52%
Epoch: 12/1000, Duration: 85.673s,Train Loss: 0.0349, Test Loss:0.0073, Test Percentage Loss: 23.58%
Epoch: 13/1000, Duration: 84.038s,Train Loss: 0.0331, Test Loss:0.0051, Test Percentage Loss: 18.57%
Epoch: 14/1000, Duration: 85.572s,Train Loss: 0.0272, Test Loss:0.0056, Test Percentage Loss: 26.32%
Epoch: 15/1000, Duration: 83.841s,Train Loss: 0.0263, Test Loss:0.0040, Test Percentage Loss: 16.19%
Epoch: 16/1000, Duration: 86.503s,Train Loss: 0.0266, Test Loss:0.0059, Test Percentage Loss: 20.36%
Epoch: 17/1000, Duration: 82.549s,Train Loss: 0.0261, Test Loss:0.0044, Test Percentage Loss: 24.58%
Epoch: 18/1000, Duration: 87.164s,Train Loss: 0.0248, Test Loss:0.0042, Test Percentage Loss: 39.54%
Epoch: 19/1000, Duration: 82.093s,Train Loss: 0.0231, Test Loss:0.0046, Test Percentage Loss: 14.50%
Epoch: 20/1000, Duration: 87.878s,Train Loss: 0.0249, Test Loss:0.0051, Test Percentage Loss: 17.46%
Epoch: 21/1000, Duration: 82.544s,Train Loss: 0.0213, Test Loss:0.0066, Test Percentage Loss: 66.18%
Epoch: 22/1000, Duration: 88.919s,Train Loss: 0.0211, Test Loss:0.0058, Test Percentage Loss: 25.19%
Epoch: 23/1000, Duration: 82.418s,Train Loss: 0.0219, Test Loss:0.0034, Test Percentage Loss: 13.02%
Epoch: 24/1000, Duration: 101.742s,Train Loss: 0.0187, Test Loss:0.0026, Test Percentage Loss: 21.62%
Epoch: 25/1000, Duration: 78.049s,Train Loss: 0.0177, Test Loss:0.0034, Test Percentage Loss: 16.91%
Epoch: 26/1000, Duration: 88.403s,Train Loss: 0.0181, Test Loss:0.0045, Test Percentage Loss: 16.25%
Epoch: 27/1000, Duration: 81.552s,Train Loss: 0.0172, Test Loss:0.0037, Test Percentage Loss: 14.87%
Epoch: 28/1000, Duration: 88.700s,Train Loss: 0.0167, Test Loss:0.0035, Test Percentage Loss: 35.03%
Epoch: 29/1000, Duration: 80.855s,Train Loss: 0.0155, Test Loss:0.0033, Test Percentage Loss: 14.51%
Epoch: 30/1000, Duration: 89.713s,Train Loss: 0.0163, Test Loss:0.0035, Test Percentage Loss: 20.83%
Epoch: 31/1000, Duration: 81.027s,Train Loss: 0.0139, Test Loss:0.0033, Test Percentage Loss: 21.36%
Epoch: 32/1000, Duration: 89.435s,Train Loss: 0.0145, Test Loss:0.0029, Test Percentage Loss: 14.35%
Epoch: 33/1000, Duration: 81.368s,Train Loss: 0.0141, Test Loss:0.0026, Test Percentage Loss: 19.98%
Epoch: 34/1000, Duration: 88.819s,Train Loss: 0.0137, Test Loss:0.0025, Test Percentage Loss: 14.22%
Epoch: 35/1000, Duration: 80.863s,Train Loss: 0.0131, Test Loss:0.0025, Test Percentage Loss: 14.77%
Epoch: 36/1000, Duration: 89.739s,Train Loss: 0.0137, Test Loss:0.0021, Test Percentage Loss: 24.46%
Epoch: 37/1000, Duration: 81.063s,Train Loss: 0.0136, Test Loss:0.0034, Test Percentage Loss: 22.88%
Epoch: 38/1000, Duration: 88.620s,Train Loss: 0.0130, Test Loss:0.0017, Test Percentage Loss: 22.33%
Epoch: 39/1000, Duration: 80.823s,Train Loss: 0.0120, Test Loss:0.0020, Test Percentage Loss: 17.14%
Epoch: 40/1000, Duration: 89.554s,Train Loss: 0.0126, Test Loss:0.0035, Test Percentage Loss: 52.32%
Epoch: 41/1000, Duration: 81.310s,Train Loss: 0.0118, Test Loss:0.0027, Test Percentage Loss: 15.24%
Epoch: 42/1000, Duration: 88.912s,Train Loss: 0.0124, Test Loss:0.0021, Test Percentage Loss: 30.15%
Epoch: 43/1000, Duration: 81.247s,Train Loss: 0.0110, Test Loss:0.0015, Test Percentage Loss: 30.82%
Epoch: 44/1000, Duration: 87.475s,Train Loss: 0.0120, Test Loss:0.0016, Test Percentage Loss: 11.27%
Epoch: 45/1000, Duration: 80.891s,Train Loss: 0.0115, Test Loss:0.0021, Test Percentage Loss: 24.74%
Epoch: 46/1000, Duration: 87.012s,Train Loss: 0.0122, Test Loss:0.0016, Test Percentage Loss: 12.43%
Epoch: 47/1000, Duration: 82.898s,Train Loss: 0.0099, Test Loss:0.0025, Test Percentage Loss: 25.83%
Epoch: 48/1000, Duration: 85.567s,Train Loss: 0.0117, Test Loss:0.0017, Test Percentage Loss: 22.52%
Epoch: 49/1000, Duration: 83.404s,Train Loss: 0.0107, Test Loss:0.0018, Test Percentage Loss: 41.00%
Epoch: 50/1000, Duration: 86.232s,Train Loss: 0.0096, Test Loss:0.0014, Test Percentage Loss: 13.08%
Epoch: 51/1000, Duration: 83.133s,Train Loss: 0.0102, Test Loss:0.0024, Test Percentage Loss: 15.70%
Epoch: 52/1000, Duration: 85.090s,Train Loss: 0.0096, Test Loss:0.0018, Test Percentage Loss: 12.20%
Epoch: 53/1000, Duration: 84.156s,Train Loss: 0.0109, Test Loss:0.0017, Test Percentage Loss: 9.12%
Epoch: 54/1000, Duration: 84.237s,Train Loss: 0.0094, Test Loss:0.0018, Test Percentage Loss: 13.57%
Epoch: 55/1000, Duration: 85.930s,Train Loss: 0.0097, Test Loss:0.0023, Test Percentage Loss: 20.80%
Epoch: 56/1000, Duration: 83.436s,Train Loss: 0.0107, Test Loss:0.0019, Test Percentage Loss: 8.54%
Epoch: 57/1000, Duration: 85.501s,Train Loss: 0.0097, Test Loss:0.0012, Test Percentage Loss: 9.65%
Epoch: 58/1000, Duration: 83.519s,Train Loss: 0.0095, Test Loss:0.0009, Test Percentage Loss: 57.58%
Epoch: 59/1000, Duration: 86.355s,Train Loss: 0.0084, Test Loss:0.0012, Test Percentage Loss: 10.49%
Epoch: 60/1000, Duration: 82.518s,Train Loss: 0.0085, Test Loss:0.0009, Test Percentage Loss: 12.30%
Epoch: 61/1000, Duration: 86.638s,Train Loss: 0.0093, Test Loss:0.0016, Test Percentage Loss: 28.67%
Epoch: 62/1000, Duration: 82.673s,Train Loss: 0.0084, Test Loss:0.0028, Test Percentage Loss: 217.22%
Epoch: 63/1000, Duration: 87.224s,Train Loss: 0.0085, Test Loss:0.0015, Test Percentage Loss: 14.54%
Epoch: 64/1000, Duration: 81.635s,Train Loss: 0.0081, Test Loss:0.0014, Test Percentage Loss: 13.57%
Epoch: 65/1000, Duration: 88.000s,Train Loss: 0.0077, Test Loss:0.0015, Test Percentage Loss: 16.72%
Epoch: 66/1000, Duration: 81.485s,Train Loss: 0.0080, Test Loss:0.0006, Test Percentage Loss: 6.03%
Epoch: 67/1000, Duration: 88.230s,Train Loss: 0.0092, Test Loss:0.0008, Test Percentage Loss: 6.57%
Epoch: 68/1000, Duration: 82.035s,Train Loss: 0.0082, Test Loss:0.0016, Test Percentage Loss: 13.55%
Epoch: 69/1000, Duration: 89.144s,Train Loss: 0.0087, Test Loss:0.0012, Test Percentage Loss: 7.53%
Epoch: 70/1000, Duration: 81.775s,Train Loss: 0.0085, Test Loss:0.0010, Test Percentage Loss: 6.06%
Epoch: 71/1000, Duration: 88.883s,Train Loss: 0.0079, Test Loss:0.0013, Test Percentage Loss: 8.41%
Epoch: 72/1000, Duration: 80.803s,Train Loss: 0.0077, Test Loss:0.0012, Test Percentage Loss: 72.77%
Epoch: 73/1000, Duration: 88.903s,Train Loss: 0.0082, Test Loss:0.0010, Test Percentage Loss: 9.87%
Epoch: 74/1000, Duration: 81.212s,Train Loss: 0.0065, Test Loss:0.0021, Test Percentage Loss: 10.72%
Epoch: 75/1000, Duration: 89.474s,Train Loss: 0.0082, Test Loss:0.0010, Test Percentage Loss: 7.65%
Epoch: 76/1000, Duration: 80.771s,Train Loss: 0.0078, Test Loss:0.0012, Test Percentage Loss: 9.37%
Epoch: 77/1000, Duration: 88.920s,Train Loss: 0.0074, Test Loss:0.0018, Test Percentage Loss: 8.15%
Epoch: 78/1000, Duration: 81.134s,Train Loss: 0.0071, Test Loss:0.0013, Test Percentage Loss: 9.84%
Epoch: 79/1000, Duration: 89.295s,Train Loss: 0.0071, Test Loss:0.0015, Test Percentage Loss: 8.03%
Epoch: 80/1000, Duration: 81.052s,Train Loss: 0.0079, Test Loss:0.0009, Test Percentage Loss: 7.81%
Epoch: 81/1000, Duration: 89.686s,Train Loss: 0.0066, Test Loss:0.0008, Test Percentage Loss: 6.76%
Epoch: 82/1000, Duration: 80.762s,Train Loss: 0.0069, Test Loss:0.0012, Test Percentage Loss: 7.45%
Epoch: 83/1000, Duration: 89.045s,Train Loss: 0.0071, Test Loss:0.0008, Test Percentage Loss: 10.88%
Epoch: 84/1000, Duration: 81.013s,Train Loss: 0.0067, Test Loss:0.0009, Test Percentage Loss: 6.67%
Epoch: 85/1000, Duration: 88.555s,Train Loss: 0.0073, Test Loss:0.0008, Test Percentage Loss: 7.02%
Epoch: 86/1000, Duration: 81.168s,Train Loss: 0.0063, Test Loss:0.0021, Test Percentage Loss: 17.67%
Epoch: 87/1000, Duration: 89.199s,Train Loss: 0.0063, Test Loss:0.0022, Test Percentage Loss: 13.16%
Epoch: 88/1000, Duration: 81.624s,Train Loss: 0.0057, Test Loss:0.0017, Test Percentage Loss: 8.14%
Epoch: 89/1000, Duration: 89.170s,Train Loss: 0.0068, Test Loss:0.0008, Test Percentage Loss: 7.37%
Epoch: 90/1000, Duration: 80.974s,Train Loss: 0.0062, Test Loss:0.0010, Test Percentage Loss: 7.67%
Epoch: 91/1000, Duration: 89.549s,Train Loss: 0.0057, Test Loss:0.0019, Test Percentage Loss: 9.95%
Epoch: 92/1000, Duration: 80.543s,Train Loss: 0.0059, Test Loss:0.0008, Test Percentage Loss: 5.17%
Epoch: 93/1000, Duration: 88.305s,Train Loss: 0.0059, Test Loss:0.0008, Test Percentage Loss: 4.83%
Epoch: 94/1000, Duration: 81.365s,Train Loss: 0.0056, Test Loss:0.0013, Test Percentage Loss: 8.05%
Epoch: 95/1000, Duration: 88.134s,Train Loss: 0.0056, Test Loss:0.0024, Test Percentage Loss: 32.44%
Epoch: 96/1000, Duration: 80.401s,Train Loss: 0.0057, Test Loss:0.0010, Test Percentage Loss: 9.17%
Epoch: 97/1000, Duration: 87.098s,Train Loss: 0.0066, Test Loss:0.0015, Test Percentage Loss: 8.32%
Epoch: 98/1000, Duration: 83.289s,Train Loss: 0.0063, Test Loss:0.0009, Test Percentage Loss: 7.14%
Epoch: 99/1000, Duration: 87.300s,Train Loss: 0.0051, Test Loss:0.0011, Test Percentage Loss: 7.85%
Epoch: 100/1000, Duration: 82.966s,Train Loss: 0.0066, Test Loss:0.0010, Test Percentage Loss: 14.03%
Epoch: 101/1000, Duration: 85.702s,Train Loss: 0.0057, Test Loss:0.0007, Test Percentage Loss: 5.26%
Epoch: 102/1000, Duration: 83.613s,Train Loss: 0.0053, Test Loss:0.0009, Test Percentage Loss: 6.66%
Epoch: 103/1000, Duration: 85.383s,Train Loss: 0.0058, Test Loss:0.0010, Test Percentage Loss: 8.96%
Epoch: 104/1000, Duration: 84.535s,Train Loss: 0.0053, Test Loss:0.0009, Test Percentage Loss: 28.39%
Epoch: 105/1000, Duration: 84.137s,Train Loss: 0.0056, Test Loss:0.0009, Test Percentage Loss: 7.63%
Epoch: 106/1000, Duration: 85.031s,Train Loss: 0.0055, Test Loss:0.0008, Test Percentage Loss: 5.98%
