Epoch: 1/100, Duration: 17.906s,Train Loss: 4.8944, Test Loss:3.9238
Epoch: 2/100, Duration: 19.364s,Train Loss: 3.2756, Test Loss:3.7240
Epoch: 3/100, Duration: 18.733s,Train Loss: 3.0029, Test Loss:3.2959
Epoch: 4/100, Duration: 22.481s,Train Loss: 2.8255, Test Loss:3.0820
Epoch: 5/100, Duration: 22.077s,Train Loss: 2.7175, Test Loss:3.0337
Epoch: 6/100, Duration: 24.844s,Train Loss: 2.6483, Test Loss:2.7533
Epoch: 7/100, Duration: 21.259s,Train Loss: 2.3036, Test Loss:2.2901
Epoch: 8/100, Duration: 19.854s,Train Loss: 2.0360, Test Loss:1.7537
Epoch: 9/100, Duration: 19.622s,Train Loss: 1.5629, Test Loss:1.3540
Epoch: 10/100, Duration: 20.447s,Train Loss: 1.0485, Test Loss:0.9857
Epoch: 11/100, Duration: 19.644s,Train Loss: 0.6520, Test Loss:0.6751
Epoch: 12/100, Duration: 21.257s,Train Loss: 0.4701, Test Loss:0.4826
Epoch: 13/100, Duration: 24.168s,Train Loss: 0.3915, Test Loss:0.3410
Epoch: 14/100, Duration: 22.079s,Train Loss: 0.3185, Test Loss:0.2541
Epoch: 15/100, Duration: 18.933s,Train Loss: 0.2369, Test Loss:0.1650
Epoch: 16/100, Duration: 17.636s,Train Loss: 0.1839, Test Loss:0.1155
Epoch: 17/100, Duration: 17.592s,Train Loss: 0.1580, Test Loss:0.0960
Epoch: 18/100, Duration: 17.731s,Train Loss: 0.1131, Test Loss:0.0800
Epoch: 19/100, Duration: 17.442s,Train Loss: 0.1152, Test Loss:0.0778
Epoch: 20/100, Duration: 17.613s,Train Loss: 0.0958, Test Loss:0.0558
Epoch: 21/100, Duration: 18.108s,Train Loss: 0.1005, Test Loss:0.0585
Epoch: 22/100, Duration: 19.944s,Train Loss: 0.0878, Test Loss:0.0568
Epoch: 23/100, Duration: 20.578s,Train Loss: 0.0810, Test Loss:0.0561
Epoch: 24/100, Duration: 23.083s,Train Loss: 0.0848, Test Loss:0.0724
Epoch: 25/100, Duration: 24.519s,Train Loss: 0.0856, Test Loss:0.0429
