Epoch: 1/100, Duration: 20.105s,Train Loss: 5.4293, Test Loss:4.4863
Epoch: 2/100, Duration: 24.151s,Train Loss: 3.6564, Test Loss:3.7175
Epoch: 3/100, Duration: 21.958s,Train Loss: 3.1565, Test Loss:3.3926
Epoch: 4/100, Duration: 21.947s,Train Loss: 2.9077, Test Loss:3.1633
Epoch: 5/100, Duration: 21.081s,Train Loss: 2.7485, Test Loss:2.9449
Epoch: 6/100, Duration: 19.851s,Train Loss: 2.5428, Test Loss:2.6715
Epoch: 7/100, Duration: 25.160s,Train Loss: 2.1954, Test Loss:2.0479
Epoch: 8/100, Duration: 24.894s,Train Loss: 1.3667, Test Loss:1.0465
Epoch: 9/100, Duration: 27.326s,Train Loss: 0.7322, Test Loss:0.5538
Epoch: 10/100, Duration: 30.844s,Train Loss: 0.4431, Test Loss:0.3601
Epoch: 11/100, Duration: 27.563s,Train Loss: 0.3092, Test Loss:0.2376
Epoch: 12/100, Duration: 26.324s,Train Loss: 0.2445, Test Loss:0.1744
Epoch: 13/100, Duration: 24.663s,Train Loss: 0.1955, Test Loss:0.1299
Epoch: 14/100, Duration: 23.615s,Train Loss: 0.1596, Test Loss:0.0969
Epoch: 15/100, Duration: 21.440s,Train Loss: 0.1441, Test Loss:0.0772
Epoch: 16/100, Duration: 21.788s,Train Loss: 0.1388, Test Loss:0.0668
Epoch: 17/100, Duration: 24.221s,Train Loss: 0.1131, Test Loss:0.0539
Epoch: 18/100, Duration: 22.392s,Train Loss: 0.1169, Test Loss:0.0499
Epoch: 19/100, Duration: 21.933s,Train Loss: 0.1017, Test Loss:0.0439
Epoch: 20/100, Duration: 22.081s,Train Loss: 0.1086, Test Loss:0.0401
Epoch: 21/100, Duration: 21.424s,Train Loss: 0.1100, Test Loss:0.0390
Epoch: 22/100, Duration: 21.593s,Train Loss: 0.1063, Test Loss:0.0425
Epoch: 23/100, Duration: 21.711s,Train Loss: 0.1060, Test Loss:0.0408
Epoch: 24/100, Duration: 21.882s,Train Loss: 0.0930, Test Loss:0.0359
Epoch: 25/100, Duration: 21.692s,Train Loss: 0.0930, Test Loss:0.0322
Epoch: 26/100, Duration: 21.756s,Train Loss: 0.0883, Test Loss:0.0313
Epoch: 27/100, Duration: 23.368s,Train Loss: 0.0828, Test Loss:0.0264
Epoch: 28/100, Duration: 22.201s,Train Loss: 0.0818, Test Loss:0.0262
Epoch: 29/100, Duration: 28.221s,Train Loss: 0.0764, Test Loss:0.0246
Epoch: 30/100, Duration: 27.742s,Train Loss: 0.0753, Test Loss:0.0237
Epoch: 31/100, Duration: 27.998s,Train Loss: 0.0693, Test Loss:0.0217
Epoch: 32/100, Duration: 44.235s,Train Loss: 0.0682, Test Loss:0.0222
Epoch: 33/100, Duration: 48.159s,Train Loss: 0.0646, Test Loss:0.0204
Epoch: 34/100, Duration: 42.414s,Train Loss: 0.0648, Test Loss:0.0209
Epoch: 35/100, Duration: 41.887s,Train Loss: 0.0581, Test Loss:0.0196
Epoch: 36/100, Duration: 37.386s,Train Loss: 0.0592, Test Loss:0.0203
Epoch: 37/100, Duration: 37.337s,Train Loss: 0.0585, Test Loss:0.0187
Epoch: 38/100, Duration: 39.328s,Train Loss: 0.0566, Test Loss:0.0193
Epoch: 39/100, Duration: 41.290s,Train Loss: 0.0553, Test Loss:0.0198
Epoch: 40/100, Duration: 38.196s,Train Loss: 0.0569, Test Loss:0.0192
Epoch: 41/100, Duration: 37.744s,Train Loss: 0.0547, Test Loss:0.0195
Epoch: 42/100, Duration: 37.552s,Train Loss: 0.0521, Test Loss:0.0191
Epoch: 43/100, Duration: 42.385s,Train Loss: 0.0537, Test Loss:0.0197
Epoch: 44/100, Duration: 40.799s,Train Loss: 0.0541, Test Loss:0.0171
Epoch: 45/100, Duration: 37.800s,Train Loss: 0.0506, Test Loss:0.0164
Epoch: 46/100, Duration: 38.583s,Train Loss: 0.0500, Test Loss:0.0165
Epoch: 47/100, Duration: 41.204s,Train Loss: 0.0494, Test Loss:0.0166
Epoch: 48/100, Duration: 42.305s,Train Loss: 0.0472, Test Loss:0.0160
Epoch: 49/100, Duration: 40.094s,Train Loss: 0.0489, Test Loss:0.0162
Epoch: 50/100, Duration: 49.095s,Train Loss: 0.0465, Test Loss:0.0165
Epoch: 51/100, Duration: 45.914s,Train Loss: 0.0449, Test Loss:0.0165
Epoch: 52/100, Duration: 46.216s,Train Loss: 0.0454, Test Loss:0.0177
Epoch: 53/100, Duration: 50.805s,Train Loss: 0.0435, Test Loss:0.0159
Epoch: 54/100, Duration: 45.669s,Train Loss: 0.0456, Test Loss:0.0170
