Epoch: 1/100, Duration: 208.283s,Train Loss: 810.7922, Test Loss:872.6000
Epoch: 2/100, Duration: 224.046s,Train Loss: 809.3803, Test Loss:873.0614
Epoch: 3/100, Duration: 235.148s,Train Loss: 808.7242, Test Loss:872.5156
Epoch: 4/100, Duration: 243.511s,Train Loss: 808.8030, Test Loss:872.1538
Epoch: 5/100, Duration: 251.288s,Train Loss: 808.3148, Test Loss:871.8833
Epoch: 6/100, Duration: 276.271s,Train Loss: 808.0032, Test Loss:872.3732
Epoch: 7/100, Duration: 264.855s,Train Loss: 807.6112, Test Loss:870.5713
Epoch: 8/100, Duration: 269.508s,Train Loss: 808.1128, Test Loss:871.9253
Epoch: 9/100, Duration: 280.303s,Train Loss: 807.7127, Test Loss:871.2010
Epoch: 10/100, Duration: 263.649s,Train Loss: 807.8704, Test Loss:870.7050
Epoch: 11/100, Duration: 258.801s,Train Loss: 806.7978, Test Loss:869.8854
Epoch: 12/100, Duration: 261.311s,Train Loss: 807.3034, Test Loss:870.3135
Epoch: 13/100, Duration: 253.838s,Train Loss: 806.8896, Test Loss:870.5871
Epoch: 14/100, Duration: 256.942s,Train Loss: 806.6968, Test Loss:869.5838
Epoch: 15/100, Duration: 246.005s,Train Loss: 806.3309, Test Loss:870.7179
Epoch: 16/100, Duration: 220.857s,Train Loss: 806.1181, Test Loss:869.3732
Epoch: 17/100, Duration: 210.261s,Train Loss: 805.7011, Test Loss:868.9663
Epoch: 18/100, Duration: 213.308s,Train Loss: 805.5688, Test Loss:869.0127
Epoch: 19/100, Duration: 210.551s,Train Loss: 805.2688, Test Loss:869.9922
Epoch: 20/100, Duration: 217.313s,Train Loss: 805.2050, Test Loss:868.5570
Epoch: 21/100, Duration: 207.198s,Train Loss: 805.0501, Test Loss:868.9238
Epoch: 22/100, Duration: 213.220s,Train Loss: 805.4622, Test Loss:869.7242
Epoch: 23/100, Duration: 217.062s,Train Loss: 805.5666, Test Loss:869.3624
Epoch: 24/100, Duration: 207.810s,Train Loss: 805.6290, Test Loss:868.7895
Epoch: 25/100, Duration: 206.685s,Train Loss: 805.4824, Test Loss:868.9458
Epoch: 26/100, Duration: 206.928s,Train Loss: 805.3315, Test Loss:869.2119
Epoch: 27/100, Duration: 204.318s,Train Loss: 805.3069, Test Loss:868.4210
Epoch: 28/100, Duration: 208.253s,Train Loss: 804.9807, Test Loss:868.2344
Epoch: 29/100, Duration: 215.840s,Train Loss: 804.8376, Test Loss:868.9937
Epoch: 30/100, Duration: 228.506s,Train Loss: 804.9413, Test Loss:868.2497
Epoch: 31/100, Duration: 216.077s,Train Loss: 804.5198, Test Loss:868.0529
Epoch: 32/100, Duration: 204.379s,Train Loss: 804.3577, Test Loss:867.8869
Epoch: 33/100, Duration: 198.775s,Train Loss: 804.4823, Test Loss:868.3600
Epoch: 34/100, Duration: 201.331s,Train Loss: 804.3363, Test Loss:868.4994
Epoch: 35/100, Duration: 205.188s,Train Loss: 804.2506, Test Loss:868.2506
Epoch: 36/100, Duration: 199.800s,Train Loss: 804.1209, Test Loss:867.7880
Epoch: 37/100, Duration: 200.003s,Train Loss: 804.2195, Test Loss:867.7272
Epoch: 38/100, Duration: 196.992s,Train Loss: 803.9372, Test Loss:867.5547
Epoch: 39/100, Duration: 190.880s,Train Loss: 803.9124, Test Loss:867.7564
Epoch: 40/100, Duration: 195.446s,Train Loss: 803.8770, Test Loss:867.4560
Epoch: 41/100, Duration: 195.771s,Train Loss: 804.6202, Test Loss:870.0765
Epoch: 42/100, Duration: 186.555s,Train Loss: 804.2716, Test Loss:867.8508
Epoch: 43/100, Duration: 190.101s,Train Loss: 803.8536, Test Loss:868.3619
Epoch: 44/100, Duration: 182.364s,Train Loss: 803.7601, Test Loss:868.3323
Epoch: 45/100, Duration: 182.904s,Train Loss: 804.9534, Test Loss:868.5999
Epoch: 46/100, Duration: 193.819s,Train Loss: 804.5945, Test Loss:868.8658
Epoch: 47/100, Duration: 190.561s,Train Loss: 804.4332, Test Loss:868.3584
Epoch: 48/100, Duration: 192.231s,Train Loss: 803.9971, Test Loss:867.6516
Epoch: 49/100, Duration: 187.624s,Train Loss: 804.3260, Test Loss:867.9262
Epoch: 50/100, Duration: 189.325s,Train Loss: 804.0837, Test Loss:867.6748
Epoch: 51/100, Duration: 183.878s,Train Loss: 804.1854, Test Loss:868.3083
Epoch: 52/100, Duration: 184.303s,Train Loss: 804.1328, Test Loss:868.0683
Epoch: 53/100, Duration: 188.325s,Train Loss: 804.1526, Test Loss:868.1459
Epoch: 54/100, Duration: 184.639s,Train Loss: 804.0288, Test Loss:867.8022
Epoch: 55/100, Duration: 182.092s,Train Loss: 803.7264, Test Loss:868.6613
Epoch: 56/100, Duration: 180.915s,Train Loss: 803.7974, Test Loss:867.6436
Epoch: 57/100, Duration: 175.627s,Train Loss: 803.9838, Test Loss:867.6178
Epoch: 58/100, Duration: 178.067s,Train Loss: 803.9470, Test Loss:867.7795
Epoch: 59/100, Duration: 176.796s,Train Loss: 803.7752, Test Loss:867.3536
Epoch: 60/100, Duration: 174.272s,Train Loss: 803.7308, Test Loss:867.4286
Epoch: 61/100, Duration: 179.764s,Train Loss: 803.6156, Test Loss:868.4728
Epoch: 62/100, Duration: 176.133s,Train Loss: 803.8032, Test Loss:867.2728
